72 authors x 7 steps; 0 done, 504 to run
[1/504] 3381418 n=25 -> {'gender': 'male', 'age_band': '23-27', 'sign': 'Libra'} (12.2s/call, ~102 min left)
[430/504] 4293578 n=100 -> {'gender': 'male', 'age_band': '23-27', 'sign': 'Leo'} (2.8s/call, ~3 min left)
[431/504] 4293578 n=200 -> {'gender': 'male', 'age_band': '23-27', 'sign': 'Leo'} (2.8s/call, ~3 min left)
[432/504] 4293578 n=400 -> {'gender': 'male', 'age_band': '23-27', 'sign': 'Leo'} (2.8s/call, ~3 min left)
[433/504] 4293578 n=800 -> {'gender': 'female', 'age_band': '23-27', 'sign': 'Scorpio'} (2.8s/call, ~3 min left)
[434/504] 4293578 n=1600 -> {'gender': 'female', 'age_band': '23-27', 'sign': 'Scorpio'} (2.8s/call, ~3 min left)
[435/504] 4125410 n=25 -> {'gender': 'female', 'age_band': '33-47', 'sign': 'Libra'} (2.8s/call, ~3 min left)
[436/504] 4125410 n=50 -> {'gender': 'female', 'age_band': '33-47', 'sign': 'Libra'} (2.8s/call, ~3 min left)
[437/504] 4125410 n=100 -> {'gender': 'female', 'age_band': '33-47', 'sign': 'Libra'} (2.8s/call, ~3 min left)
[438/504] 4125410 n=200 -> {'gender': 'female', 'age_band': '33-47', 'sign': 'Libra'} (2.8s/call, ~3 min left)
[439/504] 4125410 n=400 -> {'gender': 'female', 'age_band': '33-47', 'sign': 'Libra'} (2.8s/call, ~3 min left)
[440/504] 4125410 n=800 -> {'gender': 'female', 'age_band': '33-47', 'sign': 'Libra'} (2.8s/call, ~3 min left)
[441/504] 4125410 n=1600 -> {'gender': 'female', 'age_band': '33-47', 'sign': 'Cancer'} (2.8s/call, ~3 min left)
[442/504] 3543749 n=25 -> {'gender': 'female', 'age_band': '33-47', 'sign': 'Libra'} (2.8s/call, ~3 min left)
[443/504] 3543749 n=50 -> {'gender': 'female', 'age_band': '33-47', 'sign': 'Libra'} (2.8s/call, ~3 min left)
[444/504] 3543749 n=100 -> {'gender': 'female', 'age_band': '33-47', 'sign': 'Libra'} (2.8s/call, ~3 min left)
[445/504] 3543749 n=200 -> {'gender': 'female', 'age_band': '33-47', 'sign': 'Cancer'} (2.8s/call, ~3 min left)
[446/504] 3543749 n=400 -> {'gender': 'female', 'age_band': '33-47', 'sign': 'Libra'} (2.8s/call, ~3 min left)
[447/504] 3543749 n=800 -> {'gender': 'female', 'age_band': '33-47', 'sign': 'Cancer'} (2.8s/call, ~3 min left)
[448/504] 3543749 n=1600 -> {'gender': 'female', 'age_band': '33-47', 'sign': 'Cancer'} (2.8s/call, ~3 min left)
[449/504] 3409476 n=25 -> {'gender': 'female', 'age_band': '33-47', 'sign': 'Libra'} (2.8s/call, ~3 min left)
[450/504] 3409476 n=50 -> {'gender': 'female', 'age_band': '13-17', 'sign': 'Cancer'} (2.8s/call, ~3 min left)
[451/504] 3409476 n=100 -> {'gender': 'female', 'age_band': '23-27', 'sign': 'Libra'} (2.8s/call, ~3 min left)
[452/504] 3409476 n=200 -> {'gender': 'female', 'age_band': '33-47', 'sign': 'Cancer'} (2.8s/call, ~2 min left)
[453/504] 3409476 n=400 -> {'gender': 'female', 'age_band': '33-47', 'sign': 'Cancer'} (2.8s/call, ~2 min left)
[454/504] 3409476 n=800 -> {'gender': 'female', 'age_band': '33-47', 'sign': 'Cancer'} (2.8s/call, ~2 min left)
[455/504] 3409476 n=1600 -> {'gender': 'female', 'age_band': '33-47', 'sign': 'Leo'} (2.8s/call, ~2 min left)
[456/504] 3551336 n=25 -> {'gender': 'male', 'age_band': '23-27', 'sign': 'Libra'} (2.8s/call, ~2 min left)
[457/504] 3551336 n=50 -> {'gender': 'male', 'age_band': '23-27', 'sign': 'Libra'} (2.8s/call, ~2 min left)
[458/504] 3551336 n=100 -> {'gender': 'male', 'age_band': '33-47', 'sign': 'Leo'} (2.8s/call, ~2 min left)
[459/504] 3551336 n=200 -> {'gender': 'male', 'age_band': '23-27', 'sign': 'Libra'} (2.8s/call, ~2 min left)
[460/504] 3551336 n=400 -> {'gender': 'male', 'age_band': '33-47', 'sign': 'Libra'} (2.8s/call, ~2 min left)
[461/504] 3551336 n=800 -> {'gender': 'male', 'age_band': '33-47', 'sign': 'Libra'} (2.8s/call, ~2 min left)
[462/504] 3551336 n=1600 -> {'gender': 'female', 'age_band': '33-47', 'sign': 'Libra'} (2.8s/call, ~2 min left)
[463/504] 3511541 n=25 -> {'gender': 'female', 'age_band': '33-47', 'sign': 'Libra'} (2.8s/call, ~2 min left)
[464/504] 3511541 n=50 -> {'gender': 'female', 'age_band': '33-47', 'sign': 'Virgo'} (2.8s/call, ~2 min left)
[465/504] 3511541 n=100 -> {'gender': 'female', 'age_band': '33-47', 'sign': 'Libra'} (2.8s/call, ~2 min left)
[466/504] 3511541 n=200 -> {'gender': 'female', 'age_band': '33-47', 'sign': 'Virgo'} (2.8s/call, ~2 min left)
[467/504] 3511541 n=400 -> {'gender': 'female', 'age_band': '33-47', 'sign': 'Libra'} (2.8s/call, ~2 min left)
[468/504] 3511541 n=800 -> {'gender': 'female', 'age_band': '33-47', 'sign': 'Virgo'} (2.8s/call, ~2 min left)
[469/504] 3511541 n=1600 -> {'gender': 'female', 'age_band': '33-47', 'sign': 'Virgo'} (2.8s/call, ~2 min left)
[470/504] 1962377 n=25 -> {'gender': 'female', 'age_band': '23-27', 'sign': 'Libra'} (2.8s/call, ~2 min left)
[471/504] 1962377 n=50 -> {'gender': 'female', 'age_band': '23-27', 'sign': 'Libra'} (2.8s/call, ~2 min left)
[472/504] 1962377 n=100 -> {'gender': 'female', 'age_band': '33-47', 'sign': 'Cancer'} (2.8s/call, ~2 min left)
[473/504] 1962377 n=200 -> {'gender': 'female', 'age_band': '33-47', 'sign': 'Cancer'} (2.8s/call, ~1 min left)
[474/504] 1962377 n=400 -> {'gender': 'female', 'age_band': '33-47', 'sign': 'Libra'} (2.8s/call, ~1 min left)
[475/504] 1962377 n=800 -> {'gender': 'female', 'age_band': '33-47', 'sign': 'Libra'} (2.8s/call, ~1 min left)
[476/504] 1962377 n=1600 -> {'gender': 'female', 'age_band': '33-47', 'sign': 'Libra'} (2.8s/call, ~1 min left)
[477/504] 3138216 n=25 -> {'gender': 'male', 'age_band': '23-27', 'sign': 'Libra'} (2.8s/call, ~1 min left)
[478/504] 3138216 n=50 -> {'gender': 'male', 'age_band': '23-27', 'sign': 'Libra'} (2.8s/call, ~1 min left)
[479/504] 3138216 n=100 -> {'gender': 'male', 'age_band': '23-27', 'sign': 'Libra'} (2.8s/call, ~1 min left)
[480/504] 3138216 n=200 -> {'gender': 'female', 'age_band': '33-47', 'sign': 'Taurus'} (2.8s/call, ~1 min left)
[481/504] 3138216 n=400 -> {'gender': 'female', 'age_band': '33-47', 'sign': 'Virgo'} (2.8s/call, ~1 min left)
[482/504] 3138216 n=800 -> {'gender': 'female', 'age_band': '33-47', 'sign': 'Virgo'} (2.8s/call, ~1 min left)
[483/504] 3138216 n=1600 -> {'gender': 'female', 'age_band': '33-47', 'sign': 'Virgo'} (2.8s/call, ~1 min left)
[484/504] 3495746 n=25 -> {'gender': 'male', 'age_band': '13-17', 'sign': 'Leo'} (2.8s/call, ~1 min left)
[485/504] 3495746 n=50 -> {'gender': 'male', 'age_band': '23-27', 'sign': 'Leo'} (2.8s/call, ~1 min left)
[486/504] 3495746 n=100 -> {'gender': 'male', 'age_band': '23-27', 'sign': 'Leo'} (2.8s/call, ~1 min left)
[487/504] 3495746 n=200 -> {'gender': 'male', 'age_band': '23-27', 'sign': 'Leo'} (2.8s/call, ~1 min left)
[488/504] 3495746 n=400 -> {'gender': 'female', 'age_band': '23-27', 'sign': 'Libra'} (2.8s/call, ~1 min left)
[489/504] 3495746 n=800 -> {'gender': 'female', 'age_band': '33-47', 'sign': 'Cancer'} (2.8s/call, ~1 min left)
[490/504] 3495746 n=1600 -> {'gender': 'female', 'age_band': '33-47', 'sign': 'Libra'} (2.8s/call, ~1 min left)
[491/504] 3521548 n=25 -> {'gender': 'male', 'age_band': '23-27', 'sign': 'Libra'} (2.8s/call, ~1 min left)
[492/504] 3521548 n=50 -> {'gender': 'female', 'age_band': '23-27', 'sign': 'Libra'} (2.8s/call, ~1 min left)
[493/504] 3521548 n=100 -> {'gender': 'female', 'age_band': '23-27', 'sign': 'Libra'} (2.8s/call, ~1 min left)
[494/504] 3521548 n=200 -> {'gender': 'female', 'age_band': '33-47', 'sign': 'Libra'} (2.8s/call, ~0 min left)
[495/504] 3521548 n=400 -> {'gender': 'female', 'age_band': '33-47', 'sign': 'Libra'} (2.8s/call, ~0 min left)
[496/504] 3521548 n=800 -> {'gender': 'female', 'age_band': '33-47', 'sign': 'Libra'} (2.8s/call, ~0 min left)
[497/504] 3521548 n=1600 -> {'gender': 'female', 'age_band': '33-47', 'sign': 'Libra'} (2.8s/call, ~0 min left)
[498/504] 3960802 n=25 -> {'gender': 'male', 'age_band': '23-27', 'sign': 'Libra'} (2.8s/call, ~0 min left)
[499/504] 3960802 n=50 -> {'gender': 'male', 'age_band': '23-27', 'sign': 'Leo'} (2.8s/call, ~0 min left)
[500/504] 3960802 n=100 -> {'gender': 'male', 'age_band': '23-27', 'sign': 'Libra'} (2.8s/call, ~0 min left)
[501/504] 3960802 n=200 -> {'gender': 'male', 'age_band': '23-27', 'sign': 'Libra'} (2.8s/call, ~0 min left)
[502/504] 3960802 n=400 -> {'gender': 'female', 'age_band': '33-47', 'sign': 'Libra'} (2.8s/call, ~0 min left)
[503/504] 3960802 n=800 -> {'gender': 'female', 'age_band': '33-47', 'sign': 'Libra'} (2.8s/call, ~0 min left)
[504/504] 3960802 n=1600 -> {'gender': 'female', 'age_band': '33-47', 'sign': 'Libra'} (2.8s/call, ~0 min left)

wrote C:\Users\Asus\projects\coldread\out\results-qwen2.5_7b-instruct.jsonl
